timestamp,signal_type
2025-07-23 06:43:00,buy
2025-07-23 07:44:00,sell
2025-07-23 08:13:00,buy
2025-07-23 10:06:00,sell
2025-07-23 11:32:00,buy
2025-07-23 12:22:00,sell
2025-07-23 12:48:00,buy
2025-07-23 12:49:00,sell
2025-07-23 14:10:00,buy
2025-07-23 14:21:00,sell
2025-07-23 14:40:00,buy
2025-07-23 14:45:00,sell
2025-07-23 15:17:00,buy
2025-07-23 15:19:00,sell
2025-07-23 17:52:00,buy
2025-07-23 19:27:03,sell
2025-07-23 23:31:00,buy
2025-07-23 23:47:00,sell
2025-07-23 23:50:00,buy
2025-07-24 00:29:00,sell
2025-07-24 00:41:00,buy
2025-07-24 01:07:00,sell
2025-07-24 01:16:00,buy
2025-07-24 01:22:00,sell
2025-07-24 01:25:00,buy
2025-07-24 01:27:00,sell
2025-07-24 01:42:00,buy
2025-07-24 01:46:00,sell
2025-07-24 07:35:00,buy
2025-07-24 07:40:00,sell
2025-07-24 07:44:00,buy
2025-07-24 07:47:00,sell
2025-07-24 08:39:00,buy
2025-07-24 08:51:00,sell
2025-07-24 10:46:00,buy
2025-07-24 10:57:00,sell
2025-07-24 11:02:00,buy
2025-07-24 11:23:00,sell
2025-07-24 11:36:00,buy
2025-07-24 11:42:00,sell
2025-07-24 12:36:00,buy
2025-07-24 12:39:00,sell
2025-07-24 13:39:00,buy
2025-07-24 15:52:00,sell
2025-07-24 16:05:00,buy
2025-07-24 16:07:00,sell
2025-07-24 17:31:00,buy
2025-07-24 17:52:00,sell
2025-07-24 18:31:00,buy
2025-07-24 23:31:00,sell
2025-07-24 23:40:00,buy
2025-07-25 01:09:00,sell
2025-07-25 01:55:00,buy
2025-07-25 02:06:00,sell
2025-07-25 06:45:00,buy
2025-07-25 06:49:00,sell
2025-07-25 06:57:00,buy
2025-07-25 07:09:00,sell
2025-07-25 07:16:00,buy
2025-07-25 07:35:00,sell
2025-07-25 12:17:00,buy
2025-07-25 12:22:00,sell
2025-07-25 13:01:00,buy
2025-07-25 13:04:00,sell
2025-07-25 13:09:00,buy
2025-07-25 13:11:00,sell
2025-07-25 13:25:00,buy
2025-07-25 13:44:00,sell
2025-07-25 13:48:00,buy
2025-07-25 14:14:00,sell
2025-07-25 17:02:00,buy
2025-07-27 23:31:37,sell
2025-07-28 00:00:00,buy
2025-07-28 00:20:00,sell
2025-07-28 00:32:00,buy
2025-07-28 00:33:00,sell
2025-07-28 00:58:02,buy
2025-07-28 01:02:00,sell
2025-07-28 01:04:00,buy
2025-07-28 01:56:00,sell
2025-07-28 02:29:00,buy
2025-07-28 02:40:00,sell
